carId,modelName,brandName,modelYear,color
1,Cooper,MINI,2009,Teal
2,Odyssey,Honda,1997,Orange
3,Prelude,Honda,1985,Purple
4,Veloster,Hyundai,2012,Red
5,Silverado,Chevrolet,2006,Turquoise
6,Liberty,Jeep,2010,Fuscia
7,RAV4,Toyota,2005,Teal
8,Malibu,Chevrolet,2010,Mauv
9,Jetta,Volkswagen,1991,Violet
10,Passat,Volkswagen,1992,Crimson
11,GTO,Pontiac,2005,Pink
12,Suburban 2500,Chevrolet,2008,Purple
13,5 Series,BMW,2004,Green
14,E-Series,Ford,2001,Mauv
15,tC,Scion,2009,Orange
16,Chariot,Mitsubishi,1987,Goldenrod
17,E-Class,Mercedes-Benz,1988,Violet
18,Elise,Lotus,2010,Green
19,L-Series,Saturn,2004,Pink
20,Familia,Mazda,1988,Purple
21,Yaris,Toyota,2009,Maroon
22,Cayenne,Porsche,2004,Green
23,88,Oldsmobile,1994,Turquoise
24,Civic,Honda,1998,Puce
25,SJ,Suzuki,1988,Blue
26,Sportvan G30,Chevrolet,1996,Pink
27,Galant,Mitsubishi,2001,Purple
28,XL-7,Suzuki,2008,Mauv
29,Grand Prix,Pontiac,1983,Aquamarine
30,Expo,Mitsubishi,1993,Aquamarine
31,Villager,Mercury,1998,Goldenrod
32,Cayman,Porsche,2007,Blue
33,Sebring,Chrysler,1998,Teal
34,FX,Infiniti,2005,Indigo
35,Thunderbird,Ford,2003,Green
36,Familia,Mazda,1986,Indigo
37,Regal,Buick,1994,Mauv
38,Truck,Mitsubishi,1988,Teal
39,RX-7,Mazda,1988,Pink
40,Q,Infiniti,2004,Fuscia
41,Civic,Honda,1997,Orange
42,Touareg 2,Volkswagen,2009,Indigo
43,Windstar,Ford,1995,Red
44,Continental,Bentley,2008,Mauv
45,Bronco II,Ford,1987,Orange
46,Millenia,Mazda,1996,Mauv
47,Vandura 1500,GMC,1993,Blue
48,RL,Acura,2001,Red
49,944,Porsche,1991,Puce
50,Azera,Hyundai,2010,Violet
51,Esprit,Lotus,2004,Indigo
52,STS,Cadillac,2005,Blue
53,xD,Scion,2011,Fuscia
54,Yukon XL 2500,GMC,2006,Indigo
55,Versa,Nissan,2009,Fuscia
56,Sierra 1500,GMC,2010,Goldenrod
57,Montana SV6,Pontiac,2006,Aquamarine
58,929,Mazda,1988,Puce
59,Forester,Subaru,2008,Khaki
60,GLK-Class,Mercedes-Benz,2012,Yellow
61,Prizm,Geo,1993,Pink
62,Astro,Chevrolet,2002,Yellow
63,LeMans,Pontiac,1990,Violet
64,RX Hybrid,Lexus,2007,Maroon
65,SL-Class,Mercedes-Benz,1995,Turquoise
